month,total,min,max
January,9873.00,0.00,248.00
February,9655.60,0.00,297.00
March,10306.00,0.00,335.00
April,5512.00,0.00,340.00
May,2337.00,0.00,117.00
June,1697.00,0.00,69.00
July,1526.00,0.00,67.00
August,709.00,0.00,39.00
September,1051.00,0.00,181.00
October,1652.00,0.00,195.00
November,1786.00,0.00,94.00
December,4895.00,0.00,250.00
