month,total,min,max
January,49679.50,0.00,535.00
February,49764.90,0.00,437.00
March,52065.20,0.00,541.00
April,27680.60,0.00,731.50
May,13318.30,0.00,165.40
June,8724.20,0.00,129.50
July,6226.50,0.00,154.70
August,5349.30,0.00,135.00
September,4712.10,0.00,100.30
October,6153.40,0.00,172.70
November,9267.10,0.00,171.50
December,23124.30,0.00,244.00
